case_id,group,split,variant,status,physical_hash,latency_s,candidate_count,positive_count,recall_at_10,recall_at_20,physical_cache_hit
eval-reverse_direction-2,reverse_direction,train,A2,PASS,34cc2701a6f4a7b47b81607e80bcf24356047f8d9c1c847f1a09cd53105a96d8,0.006032958015566692,23,0,,,True
eval-reverse_direction-2,reverse_direction,train,A5,PASS,34cc2701a6f4a7b47b81607e80bcf24356047f8d9c1c847f1a09cd53105a96d8,0.006377374986186624,23,0,,,True
eval-reverse_direction-2,reverse_direction,train,A3,DEFERRED_USER,34cc2701a6f4a7b47b81607e80bcf24356047f8d9c1c847f1a09cd53105a96d8,,,,,,
eval-reverse_direction-2,reverse_direction,train,A4,DEFERRED_USER,34cc2701a6f4a7b47b81607e80bcf24356047f8d9c1c847f1a09cd53105a96d8,,,,,,
eval-reverse_direction-3,reverse_direction,train,A0,PASS,0aacce80d35301b51e9ffd8115fc10b05bc490060a339bcad9f02cb5987bd929,0.003751417010789737,23,0,,,False
eval-reverse_direction-3,reverse_direction,train,A1,PASS,0aacce80d35301b51e9ffd8115fc10b05bc490060a339bcad9f02cb5987bd929,0.004732874978799373,23,0,,,True
eval-reverse_direction-3,reverse_direction,train,A2,PASS,0aacce80d35301b51e9ffd8115fc10b05bc490060a339bcad9f02cb5987bd929,0.005695667001418769,23,0,,,True
eval-reverse_direction-3,reverse_direction,train,A5,PASS,0aacce80d35301b51e9ffd8115fc10b05bc490060a339bcad9f02cb5987bd929,0.006077874975744635,23,0,,,True
eval-reverse_direction-3,reverse_direction,train,A3,DEFERRED_USER,0aacce80d35301b51e9ffd8115fc10b05bc490060a339bcad9f02cb5987bd929,,,,,,
eval-reverse_direction-3,reverse_direction,train,A4,DEFERRED_USER,0aacce80d35301b51e9ffd8115fc10b05bc490060a339bcad9f02cb5987bd929,,,,,,
eval-transfer-0,transfer,train,A0,PASS,c40b3c0352625b645f2756d10f0a1402cdfb17b43643ec19819cf056df65876e,0.004499417002080008,23,1,1.0,1.0,False
eval-transfer-0,transfer,train,A1,PASS,c40b3c0352625b645f2756d10f0a1402cdfb17b43643ec19819cf056df65876e,0.004422500001965091,23,1,1.0,1.0,True
eval-transfer-0,transfer,train,A2,PASS,c40b3c0352625b645f2756d10f0a1402cdfb17b43643ec19819cf056df65876e,0.019534834020305425,23,1,1.0,1.0,True
eval-transfer-0,transfer,train,A5,PASS,c40b3c0352625b645f2756d10f0a1402cdfb17b43643ec19819cf056df65876e,0.007477833016309887,23,1,1.0,1.0,True
